station,hour,scan,VP,FP,FN,n_plots,n_gt
altona,09,0,25,93,4,118,29
altona,09,1,21,97,3,118,24
altona,09,2,20,58,3,78,23
altona,09,3,18,76,5,94,23
altona,09,4,19,94,5,113,24
altona,09,5,25,100,4,125,29
altona,09,6,21,93,4,114,25
altona,09,7,20,72,3,92,23
altona,09,8,22,88,5,110,27
altona,09,9,25,73,4,98,29
altona,09,10,23,68,2,91,25
altona,09,11,22,71,3,93,25
altona,09,12,21,93,4,114,25
altona,09,13,23,98,5,121,28
altona,09,14,20,93,5,113,25
altona,09,15,21,84,5,105,26
altona,09,16,19,81,3,100,22
altona,09,17,22,105,4,127,26
altona,09,18,20,89,5,109,25
altona,09,19,18,77,7,95,25
altona,09,20,18,83,6,101,24
altona,09,21,20,92,5,112,25
altona,09,22,20,98,6,118,26
altona,09,23,19,75,3,94,22
altona,09,24,18,89,5,107,23
altona,09,25,22,102,5,124,27
altona,09,26,23,96,8,119,31
altona,09,27,18,64,6,82,24
altona,09,28,18,70,3,88,21
altona,09,29,20,83,3,103,23
altona,09,30,22,81,3,103,25
altona,09,31,21,83,3,104,24
altona,09,32,23,87,1,110,24
altona,09,33,20,94,3,114,23
altona,09,34,24,81,3,105,27
altona,09,35,22,78,4,100,26
altona,09,36,25,78,2,103,27
altona,09,37,21,79,3,100,24
altona,09,38,24,107,4,131,28
altona,09,39,17,85,3,102,20
altona,09,40,21,98,2,119,23
altona,09,41,20,84,3,104,23
altona,09,42,21,83,5,104,26
altona,09,43,23,77,2,100,25
altona,09,44,22,64,2,86,24
altona,09,45,22,73,2,95,24
altona,09,46,22,78,3,100,25
altona,09,47,21,91,5,112,26
altona,09,48,19,73,3,92,22
altona,09,49,19,64,2,83,21
altona,09,50,23,85,4,108,27
altona,09,51,21,76,4,97,25
altona,09,52,20,91,4,111,24
altona,09,53,19,79,2,98,21
altona,09,54,17,62,1,79,18
altona,09,55,20,78,4,98,24
altona,09,56,21,84,4,105,25
altona,09,57,22,88,2,110,24
altona,09,58,16,66,0,82,16
altona,09,59,22,93,4,115,26
altona,09,60,23,80,4,103,27
altona,09,61,23,79,2,102,25
altona,09,62,18,64,0,82,18
altona,09,63,22,83,1,105,23
altona,09,64,21,92,4,113,25
altona,09,65,18,85,3,103,21
altona,09,66,17,66,1,83,18
altona,09,67,25,83,2,108,27
altona,09,68,25,97,5,122,30
altona,09,69,24,95,5,119,29
altona,09,70,21,76,0,97,21
altona,09,71,19,66,2,85,21
altona,09,72,19,76,5,95,24
altona,09,73,20,75,3,95,23
altona,09,74,21,86,2,107,23
altona,09,75,22,78,0,100,22
altona,09,76,25,95,3,120,28
altona,09,77,19,96,3,115,22
altona,09,78,20,79,1,99,21
altona,09,79,13,47,1,60,14
altona,09,80,21,93,4,114,25
altona,09,81,22,101,4,123,26
altona,09,82,24,96,2,120,26
altona,09,83,18,81,1,99,19
altona,09,84,20,84,3,104,23
altona,09,85,17,80,4,97,21
altona,09,86,18,70,1,88,19
altona,09,87,19,63,0,82,19
altona,09,88,22,81,1,103,23
altona,09,89,20,103,3,123,23
altona,09,90,15,81,2,96,17
altona,09,91,15,84,1,99,16
altona,09,92,17,90,2,107,19
altona,09,93,24,99,3,123,27
altona,09,94,24,76,1,100,25
altona,09,95,23,85,1,108,24
altona,09,96,19,75,0,94,19
altona,09,97,24,94,2,118,26
altona,09,98,23,99,1,122,24
altona,09,99,22,90,0,112,22
altona,09,100,19,65,0,84,19
altona,09,101,20,84,1,104,21
altona,11,0,15,80,3,95,18
altona,11,1,15,89,3,104,18
altona,11,2,17,63,3,80,20
altona,11,3,13,52,1,65,14
altona,11,4,15,65,2,80,17
altona,11,5,14,85,4,99,18
altona,11,6,20,58,1,78,21
altona,11,7,15,50,1,65,16
altona,11,8,17,56,2,73,19
altona,11,9,13,71,4,84,17
altona,11,10,12,76,2,88,14
altona,11,11,19,62,0,81,19
altona,11,12,17,62,1,79,18
altona,11,13,19,83,3,102,22
altona,11,14,17,74,4,91,21
altona,11,15,21,72,2,93,23
altona,11,16,16,52,1,68,17
altona,11,17,20,63,1,83,21
altona,11,18,16,68,3,84,19
altona,11,19,16,59,2,75,18
altona,11,20,14,48,2,62,16
altona,11,21,17,61,2,78,19
altona,11,22,14,76,3,90,17
altona,11,23,16,49,2,65,18
altona,11,24,13,60,2,73,15
altona,11,25,17,65,2,82,19
altona,11,26,19,94,3,113,22
altona,11,27,20,60,3,80,23
altona,11,28,16,55,2,71,18
altona,11,29,15,60,3,75,18
altona,11,30,14,68,3,82,17
altona,11,31,15,72,4,87,19
altona,11,32,16,55,1,71,17
altona,11,33,18,74,3,92,21
altona,11,34,15,70,5,85,20
altona,11,35,14,66,4,80,18
altona,11,36,19,64,1,83,20
altona,11,37,16,68,2,84,18
altona,11,38,19,74,3,93,22
altona,11,39,18,64,4,82,22
altona,11,40,21,69,2,90,23
altona,11,41,17,65,1,82,18
altona,11,42,17,63,5,80,22
altona,11,43,15,62,6,77,21
altona,11,44,18,58,4,76,22
altona,11,45,15,47,2,62,17
altona,11,46,17,60,3,77,20
altona,11,47,14,63,4,77,18
altona,11,48,17,53,2,70,19
altona,11,49,16,47,0,63,16
altona,11,50,16,78,1,94,17
altona,11,51,20,85,2,105,22
altona,11,52,21,96,2,117,23
altona,11,53,18,82,0,100,18
altona,11,54,15,59,1,74,16
altona,11,55,17,83,1,100,18
altona,11,56,22,87,0,109,22
altona,11,57,21,94,0,115,21
altona,11,58,20,84,0,104,20
altona,11,59,18,73,1,91,19
altona,11,60,20,69,0,89,20
altona,11,61,20,70,0,90,20
altona,11,62,18,69,0,87,18
altona,11,63,18,62,1,80,19
altona,11,64,19,81,1,100,20
altona,11,65,20,88,0,108,20
altona,11,66,24,99,1,123,25
altona,11,67,19,74,1,93,20
altona,11,68,20,72,0,92,20
altona,11,69,18,64,0,82,18
altona,11,70,17,71,2,88,19
altona,11,71,18,78,1,96,19
altona,11,72,19,85,1,104,20
altona,11,73,21,76,0,97,21
altona,11,74,16,73,1,89,17
altona,11,75,19,80,1,99,20
altona,11,76,18,86,2,104,20
altona,11,77,20,65,1,85,21
altona,11,78,15,49,0,64,15
altona,11,79,17,61,0,78,17
altona,11,80,16,74,0,90,16
altona,11,81,17,54,0,71,17
altona,11,82,15,68,1,83,16
altona,11,83,15,63,1,78,16
altona,11,84,15,73,0,88,15
altona,11,85,21,82,0,103,21
altona,11,86,17,66,0,83,17
altona,11,87,16,64,0,80,16
altona,11,88,17,58,0,75,17
altona,11,89,18,77,0,95,18
altona,11,90,14,65,0,79,14
altona,11,91,15,58,0,73,15
altona,11,92,17,71,0,88,17
altona,11,93,20,85,0,105,20
altona,11,94,18,63,0,81,18
altona,11,95,18,63,0,81,18
altona,11,96,17,83,0,100,17
altona,11,97,17,77,0,94,17
altona,11,98,15,70,0,85,15
altona,11,99,16,64,0,80,16
amerikahoeft,09,0,11,74,1,85,12
amerikahoeft,09,1,14,94,0,108,14
amerikahoeft,09,2,12,103,1,115,13
amerikahoeft,09,3,14,86,0,100,14
amerikahoeft,09,4,17,98,0,115,17
amerikahoeft,09,5,15,118,0,133,15
amerikahoeft,09,6,15,99,0,114,15
amerikahoeft,09,7,14,89,0,103,14
amerikahoeft,09,8,15,101,0,116,15
amerikahoeft,09,9,12,101,0,113,12
amerikahoeft,09,10,11,67,0,78,11
amerikahoeft,09,11,14,103,0,117,14
amerikahoeft,09,12,15,110,0,125,15
amerikahoeft,09,13,15,111,0,126,15
amerikahoeft,09,14,16,148,0,164,16
amerikahoeft,09,15,16,134,0,150,16
amerikahoeft,09,16,10,80,0,90,10
amerikahoeft,09,17,14,75,0,89,14
amerikahoeft,09,18,19,145,0,164,19
amerikahoeft,09,19,10,115,0,125,10
amerikahoeft,09,20,8,113,0,121,8
amerikahoeft,09,21,13,109,0,122,13
amerikahoeft,09,22,16,108,0,124,16
amerikahoeft,09,23,12,120,0,132,12
amerikahoeft,09,24,15,117,0,132,15
amerikahoeft,09,25,16,118,0,134,16
amerikahoeft,09,26,12,122,0,134,12
amerikahoeft,09,27,17,127,0,144,17
amerikahoeft,09,28,16,94,0,110,16
amerikahoeft,09,29,12,97,0,109,12
