station,hour,n_scan,n_cell,n_tgt,sec
altona,08,101,1299369,1780,9.5
altona,09,102,1579759,2416,9.7
altona,11,100,1387720,1866,9.5
amerikahoeft,08,84,1504028,1190,8.9
amerikahoeft,09,84,1764800,1117,9.4
amerikahoeft,11,84,1549824,1391,6.9
ellerholzhoeft,08,74,1922100,799,9.6
ellerholzhoeft,09,74,1897086,812,8.8
ellerholzhoeft,11,74,2423044,911,11.1
hohe_schaar,08,50,60451,70,2.1
hohe_schaar,09,41,103594,48,3.1
hohe_schaar,11,50,106508,81,2.9
kattwyk,08,85,1375933,692,5.4
kattwyk,09,84,1305788,723,6.7
kattwyk,11,86,981260,566,6.3
koehlbrandhoeft,08,80,1569415,2026,6.3
koehlbrandhoeft,09,80,1749272,2366,7.0
koehlbrandhoeft,11,80,1862578,2295,7.9
krusenbusch,08,81,1484395,716,9.1
krusenbusch,09,81,2142836,831,10.4
krusenbusch,11,82,1456443,714,6.7
landungsbruecken,08,82,2372390,1610,8.7
landungsbruecken,09,82,2271281,1639,7.2
landungsbruecken,11,82,2631419,2001,8.5
nesssand,08,90,134587,378,6.3
nesssand,09,85,131254,261,4.5
nesssand,11,90,194064,447,4.8
parkhafen,08,82,667681,523,5.2
parkhafen,09,82,913148,586,4.6
parkhafen,11,82,443976,349,5.8
reiherstieg,08,73,1056188,182,4.7
reiherstieg,09,77,1085219,220,4.8
reiherstieg,11,68,381331,122,4.9
sandauhafen,08,84,832433,584,6.7
sandauhafen,09,86,1106327,678,6.0
sandauhafen,11,84,591769,513,6.2
seemannshoeft,08,84,4870483,1143,10.9
seemannshoeft,09,84,4463531,1455,9.1
seemannshoeft,11,84,4021729,1456,8.0
