station,alvos_varredura,uids,conf_local_%,conf_fusao_%,d_eco_mediano_m,d_eco_p90_m,plots_por_varredura,alvos_por_varredura
altona,6062,96,92.1,70.55,24.13,66.7,86.38,20.68
amerikahoeft,3698,101,98.7,53.81,25.31,59.38,122.7,15.37
ellerholzhoeft,2522,67,92.07,4.68,34.29,80.68,101.27,11.89
hohe_schaar,199,11,93.97,22.61,35.64,94.16,11.77,1.65
kattwyk,1981,39,88.59,66.58,37.22,69.14,55.55,8.37
koehlbrandhoeft,6687,132,90.62,66.41,28.87,72.65,110.99,28.37
krusenbusch,2261,44,88.41,69.48,42.86,74.29,56.88,9.94
landungsbruecken,5250,120,97.5,65.56,27.38,63.49,101.32,22.11
nesssand,1086,45,92.82,27.44,21.75,48.08,16.67,4.67
parkhafen,1458,42,99.59,47.19,27.82,72.74,67.08,6.63
reiherstieg,524,13,99.81,5.34,38.13,60.41,28.79,2.92
sandauhafen,1775,36,93.8,73.86,22.14,61.25,63.26,7.62
seemannshoeft,4054,100,87.89,36.83,25.73,72.71,83.56,16.76
