station,hour,scan,n_tgt,n_plots
altona,8,0,18,90
altona,8,1,20,88
altona,8,2,16,75
altona,8,3,19,78
altona,8,4,20,80
altona,8,5,17,62
altona,8,6,13,66
altona,8,7,19,86
altona,8,8,17,81
altona,8,9,17,69
altona,8,10,18,64
altona,8,11,20,83
altona,8,12,20,79
altona,8,13,17,77
altona,8,14,16,68
altona,8,15,15,60
altona,8,16,17,75
altona,8,17,18,87
altona,8,18,19,74
altona,8,19,16,75
altona,8,20,20,74
altona,8,21,16,81
altona,8,22,17,64
altona,8,23,15,68
altona,8,24,18,58
altona,8,25,15,69
altona,8,26,17,66
altona,8,27,15,75
altona,8,28,15,67
altona,8,29,17,76
altona,8,30,17,74
altona,8,31,18,69
altona,8,32,20,81
altona,8,33,21,80
altona,8,34,17,63
altona,8,35,19,76
altona,8,36,18,76
altona,8,37,20,74
altona,8,38,19,90
altona,8,39,18,77
altona,8,40,17,77
altona,8,41,19,67
altona,8,42,19,82
altona,8,43,18,83
altona,8,44,17,66
altona,8,45,20,60
altona,8,46,17,71
altona,8,47,18,66
altona,8,48,15,70
altona,8,49,17,70
altona,8,50,18,68
altona,8,51,20,83
altona,8,52,17,79
altona,8,53,19,81
altona,8,54,17,66
altona,8,55,24,107
altona,8,56,20,91
altona,8,57,18,71
altona,8,58,16,71
altona,8,59,14,74
altona,8,60,13,56
altona,8,61,15,66
altona,8,62,17,64
altona,8,63,15,49
altona,8,64,18,63
altona,8,65,16,61
altona,8,66,18,60
altona,8,67,18,67
altona,8,68,13,62
altona,8,69,16,54
altona,8,70,18,64
altona,8,71,19,54
altona,8,72,14,48
altona,8,73,17,69
altona,8,74,15,75
altona,8,75,17,57
altona,8,76,15,61
altona,8,77,19,67
altona,8,78,19,71
altona,8,79,17,63
altona,8,80,17,76
altona,8,81,16,70
altona,8,82,20,87
altona,8,83,18,78
altona,8,84,20,74
altona,8,85,18,74
altona,8,86,19,80
altona,8,87,21,78
altona,8,88,22,73
altona,8,89,18,67
altona,8,90,20,73
altona,8,91,20,76
altona,8,92,19,65
altona,8,93,16,70
altona,8,94,17,67
altona,8,95,19,76
altona,8,96,19,57
altona,8,97,15,49
altona,8,98,14,65
altona,8,99,17,80
altona,8,100,22,78
altona,9,0,29,111
altona,9,1,24,104
altona,9,2,23,69
altona,9,3,23,86
altona,9,4,24,97
altona,9,5,29,110
altona,9,6,25,101
altona,9,7,23,80
altona,9,8,27,89
altona,9,9,29,90
altona,9,10,25,88
altona,9,11,25,87
altona,9,12,25,103
altona,9,13,28,110
altona,9,14,25,107
altona,9,15,26,93
altona,9,16,22,88
altona,9,17,26,105
altona,9,18,25,101
altona,9,19,25,83
altona,9,20,24,99
altona,9,21,25,99
altona,9,22,26,95
altona,9,23,22,71
altona,9,24,23,102
altona,9,25,27,122
altona,9,26,31,112
altona,9,27,24,85
altona,9,28,21,88
altona,9,29,23,100
altona,9,30,25,105
altona,9,31,24,105
altona,9,32,24,109
altona,9,33,23,113
altona,9,34,27,116
altona,9,35,26,107
altona,9,36,27,92
altona,9,37,24,96
altona,9,38,28,122
altona,9,39,20,100
altona,9,40,23,107
altona,9,41,23,105
altona,9,42,26,106
altona,9,43,25,100
altona,9,44,24,87
altona,9,45,24,98
altona,9,46,25,98
altona,9,47,26,112
altona,9,48,22,91
altona,9,49,21,88
altona,9,50,27,115
altona,9,51,25,99
altona,9,52,24,108
altona,9,53,21,105
altona,9,54,18,70
altona,9,55,24,92
altona,9,56,25,105
altona,9,57,24,112
altona,9,58,16,77
altona,9,59,26,122
altona,9,60,27,109
altona,9,61,25,100
altona,9,62,18,72
altona,9,63,23,94
altona,9,64,25,118
altona,9,65,21,111
altona,9,66,18,87
altona,9,67,27,113
altona,9,68,30,123
altona,9,69,29,114
altona,9,70,21,93
altona,9,71,21,81
altona,9,72,24,101
altona,9,73,23,94
altona,9,74,23,102
altona,9,75,22,89
altona,9,76,28,100
altona,9,77,22,104
altona,9,78,21,96
altona,9,79,14,56
altona,9,80,25,117
altona,9,81,26,115
altona,9,82,26,107
altona,9,83,19,89
altona,9,84,23,103
altona,9,85,21,102
altona,9,86,19,82
altona,9,87,19,76
altona,9,88,23,89
altona,9,89,23,113
altona,9,90,17,93
altona,9,91,16,91
altona,9,92,19,103
altona,9,93,27,114
altona,9,94,25,101
altona,9,95,24,97
altona,9,96,19,75
altona,9,97,26,106
altona,9,98,24,100
altona,9,99,22,95
altona,9,100,19,79
altona,9,101,21,94
altona,11,0,18,82
altona,11,1,18,90
altona,11,2,20,82
altona,11,3,14,58
altona,11,4,17,77
altona,11,5,18,83
altona,11,6,21,77
altona,11,7,16,67
altona,11,8,19,71
altona,11,9,17,74
altona,11,10,14,75
altona,11,11,19,83
altona,11,12,18,73
altona,11,13,22,98
