modo,limiar,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
dif,-0.12,5499,37619,388,0.1275337446078204,0.9340920672668592,0.22442607897153352,528,43118,5887,7.32
dif,-0.1,5530,38590,357,0.12533998186763373,0.93935790725327,0.2211690363349131,528,44120,5887,7.49
dif,-0.08,5530,38314,357,0.1261290028282091,0.93935790725327,0.22239649313305584,528,43844,5887,7.45
dif,-0.06,5532,36099,355,0.13288174677523962,0.9396976388652964,0.2328380824108759,528,41631,5887,7.07
dif,-0.04,5510,33858,377,0.13996138996138996,0.9359605911330049,0.24350900452988625,528,39368,5887,6.69
dif,-0.02,5327,26920,560,0.16519366142586908,0.9048751486325802,0.2793832275659517,528,32247,5887,5.48
dif,0.0,4342,8528,1545,0.3373737373737374,0.7375573297095295,0.4629738231060404,528,12870,5887,2.19
dif,0.02,3507,5053,2380,0.409696261682243,0.5957193816884662,0.4854987194573268,528,8560,5887,1.45
dif,0.04,2938,3752,2949,0.4391629297458894,0.4990657380669271,0.4672020354615568,528,6690,5887,1.14
dif,0.06,2751,3423,3136,0.445578231292517,0.46730083234244946,0.4561810795124782,528,6174,5887,1.05
dif,0.08,2494,3050,3393,0.44985569985569984,0.4236453201970443,0.4363572740792581,528,5544,5887,0.94
dif,0.1,2366,2885,3521,0.45058084174442964,0.40190249702734837,0.4248518585024241,528,5251,5887,0.89
dif,0.12,2241,2639,3646,0.45922131147540984,0.3806692712756922,0.41627194204513795,528,4880,5887,0.83
dif,0.14,2116,2477,3771,0.4607010668408448,0.359436045524036,0.40381679389312974,528,4593,5887,0.78
dif,0.16,1962,2268,3925,0.46382978723404256,0.3332767113979956,0.3878620144311555,528,4230,5887,0.72
dif,0.18,1812,2066,4075,0.46725116039195463,0.30779684049600814,0.37112135176651306,528,3878,5887,0.66
dif,0.2,1700,1865,4187,0.47685834502103785,0.2887718702225242,0.35971223021582727,528,3565,5887,0.61
dif,0.22,1563,1685,4324,0.4812192118226601,0.26550025479870903,0.342200328407225,528,3248,5887,0.55
dif,0.24,1466,1555,4421,0.48526977821913275,0.2490232716154238,0.329142343960485,528,3021,5887,0.51
dif,0.26,1326,1367,4561,0.4923876717415522,0.22524205877356887,0.3090909090909091,528,2693,5887,0.46
dif,0.28,1215,1222,4672,0.4985638079606073,0.20638695430609819,0.2919269581931763,528,2437,5887,0.41
norm,-0.1,5533,40225,354,0.12091874644870843,0.9398675046713096,0.21427050053248137,528,45758,5887,7.77
norm,-0.08,5542,39546,345,0.12291518807665011,0.9413962969254289,0.21743992153016187,528,45088,5887,7.66
norm,-0.06,5530,38134,357,0.12664895566141443,0.93935790725327,0.22320437529010514,528,43664,5887,7.42
norm,-0.04,5498,34842,389,0.136291522062469,0.9339222014608459,0.23786964328206456,528,40340,5887,6.85
norm,-0.02,5375,29237,512,0.15529296197850456,0.9130287073212162,0.2654386528062421,528,34612,5887,5.88
norm,0.0,4342,8528,1545,0.3373737373737374,0.7375573297095295,0.4629738231060404,528,12870,5887,2.19
norm,0.02,3278,4958,2609,0.39800874210781934,0.556820112111432,0.46420732139063936,528,8236,5887,1.4
norm,0.04,2878,3819,3009,0.42974466178886067,0.48887378970613216,0.4574062301335028,528,6697,5887,1.14
norm,0.06,2613,3203,3274,0.44927785419532323,0.44385935111262104,0.44655216611125353,528,5816,5887,0.99
norm,0.08,2419,2671,3468,0.47524557956777996,0.4109053847460506,0.440739728523276,528,5090,5887,0.86
norm,0.1,2264,2374,3623,0.48814144027598105,0.38457618481399697,0.43021377672209027,528,4638,5887,0.79
norm,0.12,2136,2121,3751,0.5017618040873855,0.362833361644301,0.42113564668769715,528,4257,5887,0.72
norm,0.14,2050,1836,3837,0.5275347400926402,0.3482249023271615,0.4195231760974112,528,3886,5887,0.66
norm,0.16,1943,1648,3944,0.5410749094959622,0.33004926108374383,0.4100021101498207,528,3591,5887,0.61
norm,0.18,1809,1517,4078,0.5438965724594107,0.3072872430779684,0.3927059589710192,528,3326,5887,0.56
norm,0.2,1637,1404,4250,0.5383097665241697,0.2780703244436895,0.3667114695340502,528,3041,5887,0.52
norm,0.22,1456,1346,4431,0.5196288365453248,0.2473246135552913,0.3351363793301876,528,2802,5887,0.48
norm,0.24,1268,1282,4619,0.4972549019607843,0.2153898420248004,0.30058077515704634,528,2550,5887,0.43
norm,0.26,1098,1207,4789,0.47635574837310196,0.186512655002548,0.26806640624999994,528,2305,5887,0.39
norm,0.28,990,1189,4897,0.45433685176686556,0.16816714795311705,0.24547483263079595,528,2179,5887,0.37
norm,0.3,915,1140,4972,0.44525547445255476,0.15542721250212332,0.23042054898010575,528,2055,5887,0.35
