guarda,ordem,alpha,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
24.0,0.6,1.0,5427,28824,460,0.15844792852763423,0.9218617292339052,0.27041706113907016,528,34251,5887,5.82
24.0,0.6,1.3,5427,28841,460,0.15836932415081126,0.9218617292339052,0.2703025775121405,528,34268,5887,5.82
24.0,0.6,1.6,5427,28848,460,0.15833698030634574,0.9218617292339052,0.2702554653652707,528,34275,5887,5.82
24.0,0.6,2.0,5427,28871,460,0.15823080062977432,0.9218617292339052,0.2701007838745801,528,34298,5887,5.83
24.0,0.6,2.5,5427,28903,460,0.15808330905913195,0.9218617292339052,0.26988586915980806,528,34330,5887,5.83
24.0,0.6,3.0,5427,28899,460,0.15810173046670162,0.9218617292339052,0.2699127147937234,528,34326,5887,5.83
24.0,0.6,4.0,5427,28886,460,0.158161629703028,0.9218617292339052,0.26999999999999996,528,34313,5887,5.83
24.0,0.6,6.0,5427,28869,460,0.15824002799160253,0.9218617292339052,0.2701142274096011,528,34296,5887,5.83
24.0,0.75,1.0,5441,29117,446,0.15744545401932983,0.9242398505180907,0.26905674372604776,528,34558,5887,5.87
24.0,0.75,1.3,5437,29224,450,0.15686217939470876,0.9235603872940377,0.26817598895136635,528,34661,5887,5.89
24.0,0.75,1.6,5437,29393,450,0.1561010623026127,0.9235603872940377,0.2670628975612152,528,34830,5887,5.92
24.0,0.75,2.0,5435,29526,452,0.15545893996167157,0.9232206556820112,0.26610849980415197,528,34961,5887,5.94
24.0,0.75,2.5,5419,29526,468,0.15507225640291888,0.9205028027857992,0.2654290752351097,528,34945,5887,5.94
24.0,0.75,3.0,5423,29519,464,0.15520004579016655,0.9211822660098522,0.2656445173773543,528,34942,5887,5.94
24.0,0.75,4.0,5408,29524,479,0.15481506927745334,0.9186342789196534,0.26497464416080746,528,34932,5887,5.93
24.0,0.75,6.0,5395,29480,492,0.15469534050179212,0.9164260234414813,0.26470732545017417,528,34875,5887,5.92
24.0,0.9,1.0,5528,32172,359,0.146631299734748,0.9390181756412435,0.2536536123155987,528,37700,5887,6.4
