station,VP,FP,FN,precisao,recall,F1
altona,3829.0,15368.0,453.0,0.1995,0.8942,0.3262
amerikahoeft,2474.0,17058.0,34.0,0.1267,0.9864,0.2245
ellerholzhoeft,1111.0,7771.0,612.0,0.1251,0.6448,0.2095
hohe_schaar,110.0,648.0,19.0,0.1451,0.8527,0.248
kattwyk,807.0,4153.0,482.0,0.1627,0.6261,0.2583
koehlbrandhoeft,3357.0,10076.0,1304.0,0.2499,0.7202,0.3711
krusenbusch,1015.0,4861.0,530.0,0.1727,0.657,0.2735
landungsbruecken,3339.0,9115.0,301.0,0.2681,0.9173,0.4149
nesssand,344.0,841.0,364.0,0.2903,0.4859,0.3634
parkhafen,834.0,4784.0,101.0,0.1485,0.892,0.2545
reiherstieg,340.0,2498.0,2.0,0.1198,0.9942,0.2138
sandauhafen,1076.0,4900.0,115.0,0.1801,0.9034,0.3003
seemannshoeft,2232.0,8105.0,679.0,0.2159,0.7667,0.337
