bits_velocidade,min_score,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
72,0.8,2022,439,3865,0.8216172287687932,0.34346865975879054,0.4844274077623383,528,2461,5887,0.42
72,0.85,2167,536,3720,0.8017018128005919,0.36809920163071175,0.5045401629802095,528,2703,5887,0.46
72,0.88,2297,700,3590,0.7664330997664331,0.3901817564124342,0.5171094101755966,528,2997,5887,0.51
72,0.91,2486,997,3401,0.7137525122021247,0.42228639374893834,0.5306296691568837,528,3483,5887,0.59
72,0.94,2840,1748,3047,0.6190061028770706,0.4824188890776287,0.5422434367541766,528,4588,5887,0.78
72,0.96,3102,2501,2785,0.5536319828663216,0.5269237302531,0.5399477806788512,528,5603,5887,0.95
72,0.98,3403,4004,2484,0.45943026866477654,0.5780533378630882,0.5119602828343615,528,7407,5887,1.26
144,0.8,2060,437,3827,0.8249899879855827,0.34992356038729405,0.49141221374045796,528,2497,5887,0.42
144,0.85,2207,606,3680,0.7845716317099183,0.3748938338712417,0.5073563218390804,528,2813,5887,0.48
144,0.88,2360,760,3527,0.7564102564102564,0.4008833021912689,0.5240368602198291,528,3120,5887,0.53
144,0.91,2576,1108,3311,0.6992399565689468,0.43757431629013077,0.5382927593772856,528,3684,5887,0.63
144,0.94,2979,1903,2908,0.6102007374027039,0.5060302361134703,0.5532547126009844,528,4882,5887,0.83
144,0.96,3193,2690,2694,0.5427502974672787,0.5423815186003058,0.5425658453695837,528,5883,5887,1.0
144,0.98,3410,4110,2477,0.45345744680851063,0.5792423985051809,0.5086894905646304,528,7520,5887,1.28
288,0.8,2076,535,3811,0.7950976637303715,0.352641413283506,0.4885855495410684,528,2611,5887,0.44
288,0.85,2303,741,3584,0.7565703022339028,0.3912009512485137,0.5157317209718956,528,3044,5887,0.52
288,0.88,2478,1016,3409,0.7092157985117344,0.42092746730083236,0.5283018867924528,528,3494,5887,0.59
288,0.91,2761,1443,3126,0.6567554709800191,0.468999490402582,0.5472202953126549,528,4204,5887,0.71
288,0.94,3096,2418,2791,0.5614798694232862,0.5259045354170205,0.5431102534865362,528,5514,5887,0.94
288,0.96,3242,3063,2645,0.5141950832672482,0.550704943094955,0.5318241469816273,528,6305,5887,1.07
288,0.98,3444,4270,2443,0.44646098003629764,0.5850178359096314,0.5064333504889347,528,7714,5887,1.31
