k_vel,eps,VP,FP,FN,precisao,recall,F1,varreduras,plots,alvos,plots_por_alvo
5.0,15.0,4553,19431,1334,0.18983488992661773,0.7733990147783252,0.3048441632352448,528,23984,5887,4.07
5.0,25.0,4524,17220,1363,0.20805739514348787,0.7684729064039408,0.32745828960225837,528,21744,5887,3.69
5.0,35.0,4449,14633,1438,0.23315166125144116,0.7557329709529472,0.3563618887420401,528,19082,5887,3.24
5.0,45.0,4320,12806,1567,0.2522480439098447,0.733820281977238,0.37543996871333596,528,17126,5887,2.91
5.0,60.0,4123,10806,1764,0.276173889744792,0.7003567181926278,0.39613758647194464,528,14929,5887,2.54
5.0,80.0,3790,8905,2097,0.2985427333595904,0.6437914047902157,0.40792164460230335,528,12695,5887,2.16
5.0,100.0,3215,6875,2672,0.3186323092170466,0.5461185663325973,0.40245352694498343,528,10090,5887,1.71
5.0,130.0,2488,4195,3399,0.3722878946580877,0.42262612536096483,0.3958631662688942,528,6683,5887,1.14
15.0,15.0,4553,19496,1334,0.1893218013223003,0.7733990147783252,0.3041822554783538,528,24049,5887,4.09
15.0,25.0,4527,17535,1360,0.20519445199891215,0.7689825038219806,0.3239471895237754,528,22062,5887,3.75
15.0,35.0,4459,15116,1428,0.22779054916985952,0.7574316290130797,0.35024742753907784,528,19575,5887,3.33
15.0,45.0,4348,13243,1539,0.2471718492410892,0.738576524545609,0.37038930062185876,528,17591,5887,2.99
15.0,60.0,4142,11058,1745,0.2725,0.7035841685068795,0.39284867453881545,528,15200,5887,2.58
15.0,80.0,3818,9046,2069,0.29679726368159204,0.6485476473585867,0.40723161431390326,528,12864,5887,2.19
15.0,100.0,3250,7023,2637,0.31636328239073297,0.552063869543061,0.4022277227722772,528,10273,5887,1.75
15.0,130.0,2537,4294,3350,0.3713951105255453,0.43094954985561407,0.3989621009592703,528,6831,5887,1.16
40.0,15.0,4553,19563,1334,0.18879582020235527,0.7733990147783252,0.3035029830350298,528,24116,5887,4.1
40.0,25.0,4530,17887,1357,0.20207877949770264,0.7694921012400204,0.320096099491238,528,22417,5887,3.81
40.0,35.0,4469,15793,1418,0.2205606554140756,0.7591302870732122,0.34181039427893994,528,20262,5887,3.44
40.0,45.0,4388,14037,1499,0.23815468113975577,0.745371156786139,0.36097400460677853,528,18425,5887,3.13
40.0,60.0,4221,11835,1666,0.26289237668161436,0.7170035671819263,0.3847240577860821,528,16056,5887,2.73
40.0,80.0,3936,9693,1951,0.28879594981289897,0.6685918124681501,0.40336134453781514,528,13629,5887,2.32
40.0,100.0,3376,7521,2511,0.3098100394604019,0.5734669611007305,0.4022878932316492,528,10897,5887,1.85
40.0,130.0,2680,4772,3207,0.3596349973161567,0.4552403601155087,0.4018292225804033,528,7452,5887,1.27
