station,VP,FP,FN,precisao,recall,F1
altona,3945.0,14297.0,337.0,0.2163,0.9213,0.3503
amerikahoeft,2479.0,18155.0,29.0,0.1201,0.9884,0.2142
ellerholzhoeft,1595.0,12920.0,128.0,0.1099,0.9257,0.1965
hohe_schaar,117.0,747.0,12.0,0.1354,0.907,0.2356
kattwyk,1165.0,6695.0,124.0,0.1482,0.9038,0.2547
koehlbrandhoeft,4275.0,14841.0,386.0,0.2236,0.9172,0.3596
krusenbusch,1346.0,7114.0,199.0,0.1591,0.8712,0.2691
landungsbruecken,3534.0,13409.0,106.0,0.2086,0.9709,0.3434
nesssand,654.0,1981.0,54.0,0.2482,0.9237,0.3913
parkhafen,931.0,8694.0,4.0,0.0967,0.9957,0.1763
reiherstieg,341.0,3158.0,1.0,0.0975,0.9971,0.1776
sandauhafen,1143.0,8514.0,48.0,0.1184,0.9597,0.2107
seemannshoeft,2585.0,12059.0,326.0,0.1765,0.888,0.2945
