station,P1,P2,P3,P4,P5,P6
altona,0.4664,0.3262,0.501,0.5177,0.4639,0.4631
amerikahoeft,0.2708,0.2245,0.315,0.3407,0.4787,0.4775
ellerholzhoeft,0.4609,0.2095,0.5911,0.5535,0.2966,0.2965
hohe_schaar,0.381,0.248,0.455,0.4192,0.3855,0.3841
kattwyk,0.413,0.2583,0.465,0.459,0.3502,0.3501
koehlbrandhoeft,0.4602,0.3711,0.4746,0.4896,0.4765,0.4757
krusenbusch,0.418,0.2735,0.5157,0.4915,0.3692,0.3689
landungsbruecken,0.4317,0.4149,0.3855,0.436,0.5086,0.5098
nesssand,0.3319,0.3634,0.393,0.3556,0.4188,0.4183
parkhafen,0.3744,0.2545,0.4003,0.392,0.3522,0.3521
reiherstieg,0.5056,0.2138,0.6567,0.6324,0.3459,0.3459
sandauhafen,0.4549,0.3003,0.5723,0.5392,0.4639,0.4631
seemannshoeft,0.4308,0.337,0.5518,0.4985,0.4343,0.434
